dependency,window,signal_target,dependency_model,signal_model,Accuracy,BalancedAccuracy,PrecisionDown,RecallDown,F1Down,AUC,ExitRate,AvgReturnFlagged,AvgReturnClear,n_test
corr_BTC-USD_^GSPC,14,stress_^GSPC,AR1,Logit,0.6423791821561339,0.5179397705950773,0.16908212560386474,0.33816425120772947,0.22544283413848631,0.520036847422803,0.30780669144981415,0.0004527125440369329,0.0003440275710685769,1345
corr_BTC-USD_^GSPC,14,stress_^GSPC,AR1,GBM_Cls,0.841635687732342,0.5013159793858197,0.2,0.00966183574879227,0.018433179723502304,0.5627509912296342,0.007434944237918215,0.005448022586667089,0.0003394999520819958,1345
corr_BTC-USD_^GSPC,14,stress_^GSPC,AR1,RF_Cls,0.8371747211895911,0.49867977551938736,0.125,0.00966183574879227,0.017937219730941704,0.5410245960792305,0.011895910780669145,0.00034002096350141224,0.000377932525568181,1345
corr_BTC-USD_^GSPC,30,stress_^GSPC,AR1,Logit,0.6388261851015802,0.5405375845444443,0.1845102505694761,0.39901477832512317,0.2523364485981308,0.538227650955035,0.3303235515425132,0.00037473622408086424,0.0005018407713727351,1329
corr_BTC-USD_^GSPC,30,stress_^GSPC,AR1,RF_Cls,0.8427389014296464,0.501373710505823,0.2,0.009852216748768473,0.018779342723004695,0.5314422210361451,0.007524454477050414,-0.00167054642099705,0.00047600678779621244,1329
corr_BTC-USD_^GSPC,30,stress_^GSPC,AR1,GBM_Cls,0.837471783295711,0.4962463579172099,0.06666666666666667,0.0049261083743842365,0.009174311926605505,0.5287822975089467,0.011286681715575621,0.006986353687175393,0.00038535173788858664,1329
corr_BTC-USD_^GSPC,60,stress_^GSPC,AR1,Logit,0.6297151655119323,0.5344015532206488,0.17954545454545454,0.3969849246231156,0.24726134585289514,0.5217542256738237,0.33872209391839875,0.00047892220069937623,0.00043142418989308413,1299
corr_BTC-USD_^GSPC,60,stress_^GSPC,AR1,GBM_Cls,0.8383371824480369,0.5052900867976245,0.23809523809523808,0.02512562814070352,0.045454545454545456,0.5458245774326176,0.016166281755196306,0.001470107805260119,0.000430709611514415,1299
corr_BTC-USD_^GSPC,60,stress_^GSPC,AR1,RF_Cls,0.8398768283294842,0.4959090909090909,0.0,0.0,0.0,0.5250708085883965,0.006928406466512702,0.002947281078854089,0.0004300725718730217,1299
corr_BTC-USD_^GSPC,90,stress_^GSPC,AR1,Logit,0.6193853427895981,0.5268106776727466,0.1746031746031746,0.39285714285714285,0.24175824175824176,0.5096334899290564,0.3475177304964539,0.00025984300605850694,0.000439886265125183,1269
corr_BTC-USD_^GSPC,90,stress_^GSPC,AR1,GBM_Cls,0.8297872340425532,0.4990204842421591,0.14285714285714285,0.02040816326530612,0.03571428571428571,0.5286722331057306,0.02206461780929866,0.0017223784944930213,0.00034697018158714614,1269
corr_BTC-USD_^GSPC,90,stress_^GSPC,AR1,RF_Cls,0.83451536643026,0.4976463092226639,0.1111111111111111,0.01020408163265306,0.018691588785046728,0.5120680145310686,0.014184397163120567,0.003912847043634528,0.0003264471194324792,1269
corr_BTC-USD_^IXIC,14,stress_^IXIC,AR1,Logit,0.6401486988847583,0.5004016981259726,0.155,0.2980769230769231,0.20394736842105263,0.5077591164332589,0.29739776951672864,-9.62777252014077e-05,0.0007120937788725132,1345
corr_BTC-USD_^IXIC,14,stress_^IXIC,AR1,RF_Cls,0.8438661710037175,0.506976862187944,0.4,0.019230769230769232,0.03669724770642202,0.5445800351802991,0.007434944237918215,-0.01041227120315194,0.0005532136651576637,1345
corr_BTC-USD_^IXIC,14,stress_^IXIC,AR1,GBM_Cls,0.8438661710037175,0.506976862187944,0.4,0.019230769230769232,0.03669724770642202,0.5362543129693527,0.007434944237918215,-0.00523290997831004,0.000514416951862968,1345
corr_BTC-USD_^IXIC,30,stress_^IXIC,AR1,Logit,0.6049661399548533,0.49377777777777776,0.1487964989059081,0.3333333333333333,0.20574886535552195,0.4994074074074074,0.3438675696012039,0.000845563169909865,0.00041670824149707164,1329
corr_BTC-USD_^IXIC,30,stress_^IXIC,AR1,GBM_Cls,0.8404815650865313,0.5004575163398693,0.16666666666666666,0.00980392156862745,0.018518518518518517,0.537912854030501,0.009029345372460496,-0.0014343538002214752,0.0005823873962315204,1329
corr_BTC-USD_^IXIC,30,stress_^IXIC,AR1,RF_Cls,0.837471783295711,0.49466666666666664,0.0,0.0,0.0,0.5641699346405228,0.009029345372460496,0.004614327504312041,0.0005272741269419212,1329
corr_BTC-USD_^IXIC,60,stress_^IXIC,AR1,Logit,0.6189376443418014,0.48601935676807223,0.14320388349514562,0.2935323383084577,0.19249592169657423,0.4998414122465994,0.317167051578137,0.0006852389731536772,0.000461863456453447,1299
corr_BTC-USD_^IXIC,60,stress_^IXIC,AR1,GBM_Cls,0.836027713625866,0.5026642742571297,0.2,0.01990049751243781,0.03619909502262444,0.506860053104242,0.015396458814472672,-0.00317338491079379,0.0005906638319229071,1299
corr_BTC-USD_^IXIC,60,stress_^IXIC,AR1,RF_Cls,0.8329484218629715,0.49271402550091076,0.0,0.0,0.0,0.5341054291384607,0.012317167051578136,0.004693107273096174,0.0004808274563086389,1299
corr_BTC-USD_^IXIC,90,stress_^IXIC,AR1,Logit,0.6004728132387707,0.475129445717681,0.13647058823529412,0.29292929292929293,0.18619582664526485,0.4886917730054985,0.33490937746256894,0.0009699906904645485,0.00017698286265253158,1269
