Date,BTC-USD,ETH-USD,GLD,SLV,UUP,^GSPC,^IXIC
2017-11-09,7143.580078125,320.8840026855469,122.12999725341797,16.06999969482422,20.517438888549805,2584.6201171875,6750.0498046875
2017-11-10,6618.14013671875,299.25299072265625,121.12999725341797,15.949999809265137,20.500732421875,2582.300048828125,6750.93994140625
2017-11-11,6357.60009765625,314.6809997558594,121.12999725341797,15.949999809265137,20.500732421875,2582.300048828125,6750.93994140625
2017-11-12,5950.06982421875,307.9079895019531,121.12999725341797,15.949999809265137,20.500732421875,2582.300048828125,6750.93994140625
2017-11-13,6559.490234375,316.71600341796875,121.30999755859375,16.09000015258789,20.517438888549805,2584.840087890625,6757.60009765625
2017-11-14,6635.75,337.6310119628906,121.55999755859375,16.079999923706055,20.375417709350586,2578.8701171875,6737.8701171875
2017-11-15,7315.5400390625,333.35699462890625,121.41000366210938,16.030000686645508,20.3670654296875,2564.6201171875,6706.2099609375
2017-11-16,7871.68994140625,330.92401123046875,121.4000015258789,16.1200008392334,20.39212989807129,2585.639892578125,6793.2900390625
2017-11-17,7708.990234375,332.3940124511719,122.86000061035156,16.309999465942383,20.333648681640625,2578.85009765625,6782.7900390625
2017-11-18,7790.14990234375,347.61199951171875,122.86000061035156,16.309999465942383,20.333648681640625,2578.85009765625,6782.7900390625
2017-11-19,8036.490234375,354.385986328125,122.86000061035156,16.309999465942383,20.333648681640625,2578.85009765625,6782.7900390625
2017-11-20,8200.6396484375,366.7300109863281,121.30999755859375,15.979999542236328,20.433897018432617,2582.139892578125,6790.7099609375
2017-11-21,8071.259765625,360.4010009765625,121.51000213623047,16.010000228881836,20.40883445739746,2599.030029296875,6862.47998046875
2017-11-22,8253.5498046875,380.6520080566406,122.62999725341797,16.170000076293945,20.25010871887207,2597.080078125,6867.35986328125
2017-11-23,8038.77001953125,410.1659851074219,122.62999725341797,16.170000076293945,20.25010871887207,2597.080078125,6867.35986328125
2017-11-24,8253.6904296875,474.9110107421875,122.31999969482422,16.079999923706055,20.158212661743164,2602.419921875,6889.16015625
2017-11-25,8790.919921875,466.2760009765625,122.31999969482422,16.079999923706055,20.158212661743164,2602.419921875,6889.16015625
2017-11-26,9330.5498046875,471.3299865722656,122.31999969482422,16.079999923706055,20.158212661743164,2602.419921875,6889.16015625
2017-11-27,9818.349609375,480.3550109863281,122.83000183105469,16.100000381469727,20.183279037475586,2601.419921875,6878.52001953125
2017-11-28,10058.7998046875,472.9020080566406,122.80999755859375,15.90999984741211,20.26681900024414,2627.0400390625,6912.35986328125
2017-11-29,9888.6103515625,427.52301025390625,122.04000091552734,15.640000343322754,20.258464813232422,2626.070068359375,6824.39013671875
2017-11-30,10233.599609375,447.114013671875,121.0999984741211,15.510000228881836,20.208341598510742,2647.580078125,6873.97021484375
2017-12-01,10975.599609375,466.5400085449219,121.58999633789062,15.529999732971191,20.191633224487305,2642.219970703125,6847.58984375
2017-12-02,11074.599609375,463.4490051269531,121.58999633789062,15.529999732971191,20.191633224487305,2642.219970703125,6847.58984375
2017-12-03,11323.2001953125,465.8529968261719,121.58999633789062,15.529999732971191,20.191633224487305,2642.219970703125,6847.58984375
2017-12-04,11657.2001953125,470.2040100097656,121.18000030517578,15.4399995803833,20.258464813232422,2639.43994140625,6775.3701171875
2017-12-05,11916.7001953125,463.281005859375,120.31999969482422,15.229999542236328,20.291879653930664,2629.570068359375,6762.2099609375
2017-12-06,14291.5,428.5880126953125,120.06999969482422,15.100000381469727,20.342004776000977,2629.27001953125,6776.3798828125
2017-12-07,17899.69921875,434.4079895019531,118.48999786376953,14.869999885559082,20.38377571105957,2636.97998046875,6812.83984375
2017-12-08,16569.400390625,456.031005859375,118.4800033569336,14.960000038146973,20.417190551757812,2651.5,6840.080078125
2017-12-09,15178.2001953125,473.50201416015625,118.4800033569336,14.960000038146973,20.417190551757812,2651.5,6840.080078125
2017-12-10,15455.400390625,441.72100830078125,118.4800033569336,14.960000038146973,20.417190551757812,2651.5,6840.080078125
2017-12-11,16936.80078125,515.135986328125,118.01000213623047,14.850000381469727,20.417190551757812,2659.989990234375,6875.080078125
2017-12-12,17415.400390625,651.4310302734375,118.1500015258789,14.859999656677246,20.450605392456055,2664.110107421875,6862.31982421875
2017-12-13,16408.19921875,702.7670288085938,119.16999816894531,15.149999618530273,20.30858612060547,2662.85009765625,6875.7998046875
2017-12-14,16564.0,695.8159790039062,118.93000030517578,15.020000457763672,20.325298309326172,2652.010009765625,6856.52978515625
2017-12-15,17706.900390625,684.447998046875,119.18000030517578,15.149999618530273,20.40883445739746,2675.81005859375,6936.580078125
2017-12-16,19497.400390625,696.208984375,119.18000030517578,15.149999618530273,20.40883445739746,2675.81005859375,6936.580078125
2017-12-17,19140.80078125,719.9749755859375,119.18000030517578,15.149999618530273,20.40883445739746,2675.81005859375,6936.580078125
2017-12-18,19114.19921875,794.64501953125,119.7300033569336,15.220000267028809,20.377899169921875,2690.159912109375,6994.759765625
2017-12-19,17776.69921875,826.822998046875,119.81999969482422,15.220000267028809,20.31936264038086,2681.469970703125,6963.85009765625
2017-12-20,16624.599609375,819.0859985351562,120.13999938964844,15.25,20.29427719116211,2679.25,6960.9599609375
2017-12-21,15802.900390625,821.06298828125,120.30999755859375,15.220000267028809,20.285919189453125,2684.570068359375,6965.35986328125
2017-12-22,13831.7998046875,674.8599853515625,120.94000244140625,15.399999618530273,20.29427719116211,2683.340087890625,6959.9599609375
2017-12-23,14699.2001953125,719.3870239257812,120.94000244140625,15.399999618530273,20.29427719116211,2683.340087890625,6959.9599609375
2017-12-24,13925.7998046875,694.1480102539062,120.94000244140625,15.399999618530273,20.29427719116211,2683.340087890625,6959.9599609375
2017-12-26,16099.7998046875,773.8359985351562,121.7699966430664,15.59000015258789,20.277555465698242,2680.5,6936.25
2017-12-27,15838.5,762.8419799804688,122.2300033569336,15.729999542236328,20.235746383666992,2682.6201171875,6939.33984375
2017-12-28,14606.5,737.0230102539062,122.8499984741211,15.880000114440918,20.17721176147461,2687.5400390625,6950.16015625
2017-12-29,14656.2001953125,753.5919799804688,123.6500015258789,15.989999771118164,20.093595504760742,2673.610107421875,6903.39013671875
2017-12-30,12952.2001953125,717.2570190429688,123.6500015258789,15.989999771118164,20.093595504760742,2673.610107421875,6903.39013671875
2017-12-31,14156.400390625,756.7329711914062,123.6500015258789,15.989999771118164,20.093595504760742,2673.610107421875,6903.39013671875
2018-01-02,14982.099609375,884.4439697265625,125.1500015258789,16.209999084472656,20.00997543334961,2695.81005859375,7006.89990234375
2018-01-03,15201.0,962.719970703125,124.81999969482422,16.170000076293945,20.085229873657227,2713.06005859375,7065.52978515625
2018-01-04,15599.2001953125,980.9219970703125,125.45999908447266,16.229999542236328,20.01833724975586,2723.989990234375,7077.91015625
2018-01-05,17429.5,997.719970703125,125.33000183105469,16.219999313354492,20.03506088256836,2743.14990234375,7136.56005859375
2018-01-06,17527.0,1041.6800537109375,125.33000183105469,16.219999313354492,20.03506088256836,2743.14990234375,7136.56005859375
2018-01-07,16477.599609375,1153.1700439453125,125.33000183105469,16.219999313354492,20.03506088256836,2743.14990234375,7136.56005859375
2018-01-08,15170.099609375,1148.530029296875,125.30999755859375,16.149999618530273,20.12704086303711,2747.7099609375,7157.39013671875
2018-01-09,14595.400390625,1299.739990234375,124.7300033569336,16.030000686645508,20.168851852416992,2751.2900390625,7163.580078125
2018-01-10,14973.2998046875,1255.8199462890625,125.02999877929688,16.020000457763672,20.11867904663086,2748.22998046875,7153.56982421875
2018-01-11,13405.7998046875,1154.9300537109375,125.44000244140625,16.010000228881836,20.03506088256836,2767.56005859375,7211.77978515625
